path,theta,gamma,vega,delta_mismatch,residual,costs,total_pnl
64,2.8389147909903425,-2.924021422236288,0.0,0.0,0.016915873791993444,0.0,-0.06819075745394798
65,1.4386801288695619,-1.6171890249723817,0.0,0.0,-0.10295729056275878,0.0,-0.28146618666546885
66,2.0343116004366593,-2.0631267155800512,0.0,0.0,0.04823850704452029,0.0,0.019423391901156606
67,1.3557812441189214,-1.6456327883401856,0.0,0.0,0.08650505911829073,0.0,-0.2033464851028981
68,1.8874966287479922,-1.6917363599948825,0.0,0.0,-0.05239995128654157,0.0,0.14336031746661604
69,0.9747307126249124,-1.05284395858509,0.0,0.0,0.11973763468687273,0.0,0.04162438872671714
70,3.3490654851909505,-2.9412007310442023,0.0,0.0,-0.0634823241470783,0.0,0.3443824299995626
71,2.508183077214464,-2.71918187001941,0.0,0.0,0.03405481083713917,0.0,-0.17694398196778138
72,1.2466700900380914,-1.0704393812966124,0.0,0.0,0.08658768638893068,0.0,0.26281839513035266
73,2.9089210905510683,-2.552816837514754,0.0,0.0,-0.02190462189685167,0.0,0.33419963113944107
74,2.9895443475009027,-2.4957433624465652,0.0,0.0,0.009378073017344044,0.0,0.5031790580716802
75,3.962065905951764,-4.384697346918419,0.0,0.0,0.10035972131897122,0.0,-0.32227171964762036
76,3.100093209103415,-3.4796478130403936,0.0,0.0,-0.012185163119914733,0.0,-0.3917397670569329
77,2.4105380301839423,-2.437281543459212,0.0,0.0,0.10032989003987085,0.0,0.07358637676462365
78,3.921744318306298,-3.0812072764785583,0.0,0.0,0.0031406535349600834,0.0,0.8436776953626872
79,1.9446222876370802,-2.6583305656484444,0.0,0.0,0.053610517503805376,0.0,-0.6600977605074689
80,1.3890657785867748,-1.227499550548883,0.0,0.0,-0.11901462251253872,0.0,0.04255160552534676
81,2.901489776109301,-2.949450016875562,0.0,0.0,-0.08374848192016117,0.0,-0.13170872268642597
82,2.290869899055496,-2.4121985431482558,0.0,0.0,-0.08398637383135808,0.0,-0.20531501792410722
83,2.579262077952323,-2.5854468393182457,0.0,0.0,0.04976733077070644,0.0,0.04358256940479066
84,1.36075403268795,-1.2352477171987555,0.0,0.0,0.1091083142318575,0.0,0.2346146297209657
85,2.967123953856006,-3.070802993779493,0.0,0.0,-0.00580110804278805,0.0,-0.10948014796626637
86,1.5162350875770243,-1.4633768804714318,0.0,0.0,-0.09275606590210995,0.0,-0.03989785879655017
87,1.8328859094080243,-1.8012458095619603,0.0,0.0,-0.08832847141272843,0.0,-0.056688371566735896
88,3.2223817789719584,-3.006348767050658,0.0,0.0,-0.059809646389547104,0.0,0.15622336553170157
89,3.7016914652640986,-3.5150491240238946,0.0,0.0,0.010983513482410119,0.0,0.1976258547225882
90,3.1527134483503523,-2.7769436109057635,0.0,0.0,-0.050857421170407605,0.0,0.3249124162742163
91,3.5794771023605816,-3.4622819214770857,0.0,0.0,0.1812787037003944,0.0,0.29847388458392743
92,1.9595093798834333,-1.863494474591617,0.0,0.0,0.057998367020379825,0.0,0.15401327231226958
93,1.8169329370388967,-1.644943429607237,0.0,0.0,-0.09886514940952708,0.0,0.07312435802209905
94,3.6717864377790947,-3.806260075685176,0.0,0.0,-0.03857243483437667,0.0,-0.1730460727404335
95,3.2122837994334263,-3.5603245554109986,0.0,0.0,0.0689286385805331,0.0,-0.2791121173970623
96,2.954264344764174,-3.13943070059582,0.0,0.0,0.07960088014958903,0.0,-0.10556547568202745
97,1.596879671390335,-1.450995818727396,0.0,0.0,-0.0884662376535415,0.0,0.05741761500937059
98,1.3565591254748965,-1.3453019351571036,0.0,0.0,-0.10737506739610121,0.0,-0.09611787707831354
99,2.0829459244512343,-2.4848883544929183,0.0,0.0,-0.033696252427609055,0.0,-0.43563868246930326
100,1.363243306100389,-1.3806233384550903,0.0,0.0,-0.11918623942453693,0.0,-0.13656627177923042
